Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,Chip Globals,PLL
Clock_Reset_0/CORERESET_PF_C0_0/CORERESET_PF_C0_0/Primitives,2,17,0,0,0,0,0,1,0
Clock_Reset_0/PF_CCC_C0_0/PF_CCC_C0_0/Primitives,0,0,0,0,0,0,0,2,1
Clock_Reset_0/PF_OSC_C0_0/PF_OSC_C0_0/Primitives,0,0,0,0,0,0,0,1,0
Clock_Reset_0/Synchronizer_0/Primitives,1,2,0,0,0,0,0,1,0
Communication_Switch_0/Primitives,22,14,0,0,0,0,0,0,0
Controler_0/ADI_SPI_0/Primitives,150,126,0,0,0,0,0,0,0
Controler_0/ADI_SPI_1/Primitives,149,126,0,0,0,0,0,0,0
Controler_0/Answer_Encoder_0/Primitives,142,45,0,0,0,0,0,0,0
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/Primitives,43,44,0,0,0,0,0,0,0
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk16.fifo_corefifo_sync_scntr/Primitives,49,33,0,0,0,0,0,0,0
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/Primitives,43,44,0,0,0,0,0,0,0
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk16.fifo_corefifo_sync_scntr/Primitives,52,33,0,0,0,0,0,0,0
Controler_0/COREFIFO_C3_0/COREFIFO_C3_0/genblk22.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,72,72,0,0,2,0,0
Controler_0/Command_Decoder_0/Primitives,134,95,0,0,0,0,0,0,0
Controler_0/Communication_ANW_MUX_0/Primitives,11,5,0,0,0,0,0,0,0
Controler_0/Communication_CMD_MUX_0/Primitives,90,6,0,0,0,0,0,0,0
Controler_0/REGISTERS_0/Primitives,6,6,36,36,0,0,1,0,0
Controler_0/Reset_Controler_0/Primitives,283,139,0,0,0,0,0,1,0
Controler_0/SPI_LMX_0/SPI_interface_0/Primitives,0,42,0,0,0,0,0,0,0
Controler_0/SPI_LMX_0/spi_master_0/Primitives,66,73,0,0,0,0,0,0,0
Controler_0/SPI_LMX_0_0/SPI_interface_0/Primitives,0,42,0,0,0,0,0,0,0
Controler_0/SPI_LMX_0_0/spi_master_0/Primitives,66,73,0,0,0,0,0,0,0
Controler_0/gpio_controler_0/Primitives,254,182,0,0,0,0,0,0,0
